I tê	You're small
En teh u, an za hian, an hnathawhte chu engmah lo a ni a, thil awm lo rêng rêng a ni: an milem chhunte chu thli leh boruak chauh a ni.	Truly they are all nothing, their works are nothing and of no value: their metal images are of no more use than wind.
Mi tin, hi hlim angin an leng tak meuh va: Selah An buai thlawn tak meuh thin a ni.Ro a khawl khâwm thin a, a khawmtu tûr a hre si lo.	Truly, every man goes on his way like an image; he is troubled for no purpose: he makes a great store of wealth, and has no knowledge of who will get it.
Mi aiin i duhtak chu eng nge a nih bik le? Aw hmeichhia alaia mawi ber, Mi aiin i duhtak chu eng nge a nih bik, Chuti ema min ngen le?	What is your loved one more than another, O fairest among women? What is your loved one more than another, that you say this to us?
Engtin nge ni ang le? Dan rorela awm kan nih loh va, khawngaihna rorela awm kan nih zawk avang hian kan sual tur em ni ang?Hnai lo ve.	What then? are we to go on in sin because we are not under law but under grace? Let it not be so.
Kawtthlêra kawngte a inkhar ni chuan, Rawtsawmna ri a lo chuai a, Sava thawmah mi â thawh a, Zai nu zawng zawngte an lo zuai lai hian;	When the doors are shut in the street, and the sound of the crushing is low, and the voice of the bird is soft, and the daughters of music will be made low;
chuta maicham hmaah chuan i thil pek chu hnutchhiah la, kal langin i unau rem zet la, chu mi hnuah chuan i thilpek chu rawn hlan rawh.	While your offering is still before the altar, first go and make peace with your brother, then come and make your offering.
mi tin Kristaah chuan thafamkima kan dintir theihna turin, mi tin zilhin, mi tin finna tinrenga zirtirin a chanchin kan hrilh thin hi;	Whom we are preaching; guiding and teaching every man in all wisdom, so that every man may be complete in Christ;
Sakeibakneiin ngawah sa aman lai loh chuan, a rûm ngai em ni? Sakeibaknei vânglaiin engmah a man loh chuan, a pûk ata a rûm ang em ni?	Will a lion give his loud cry in the woodland when no food is there? will the voice of the young lion be sounding from his hole if he has taken nothing?
Pathian rawngbawl hi a thlâwn a ni: A thuchah kan zawm leh Sipaihote LALPA hmâa intilunghnûr taka kan lêng țhîn hi sawtna eng nge awm?	You have said, It is no use worshipping God: what profit have we had from keeping his orders, and going in clothing of sorrow before the Lord of armies?
Ani chu vantirhkohte aia hnuaiin i siam rih a; Ropuina leh chawimawina i khumtir a, I kut chhuak chungahte chuan hotuah i siam bawk a;	You made him a little lower than the angels; you gave him a crown of glory and honour, and made him ruler over all the works of your hands:
Amah chu i kal botir laiin a tawk lekin amah chu i hnial a; khawchhak thli tleh niah chuan a thaw na tak chuan amah chu a len sawn ta.	Your anger against her has been made clear by driving her away; he has taken her away with his storm-wind in the day of his east wind.
Biak bûk sak na zawng zawnga a hmanraw thil zawng zawng te leh, a hung chhûng kawtlai kilhbehna zawng zawng te chu dâr ek a i tur a ni.	All the instruments for the work of the House, and all its nails, and the nails of the open space are to be of brass.
Lui zawng zawngte chu tuipuiah an luang lut a, Mahse tuipui chu a khat chuang lo; Luite chu an luanna thin lamah chuan an luang reng a.	All the rivers go down to the sea, but the sea is not full; to the place where the rivers go, there they go again.
Chutiang vek chuan hunchhan sawmte chu a siam a: a vai chuan pumkhata chhun a ni theuh va, intiat thiau, siam dan inang chiah vek a ni.	All the ten bases were made in this way, after the same design, of the same size and form.
phai ram khua zawng zawng leh Gilead ram zawng zawng leh Basan ram zawng zawng nen, Basan rama Oga ram khua, Saleka leh Edrei thlengin.	All the towns of the table-land and all Gilead and Bashan as far as Salecah and Edrei, towns of the kingdom of Og in Bashan.
Tin, Arona chuan kel pahnih chungchângah chuan thum a vawr ang a, pakhat chu LALPA pual a ni ang a, pakhat chu Azazela pual a ni ang a.	And Aaron will make selection from the two goats by the decision of the Lord, one goat for the Lord and one for Azazel.
A ni, an rama mi zawng zawngin an phûm ang; chawimawia ka awm nîah chuan ka hmingthanna a ni ang, tih hi LALPA PATHIAN thu chhuak a ni.	And all the people of the land will put them in the earth; and it will be to their honour in the day when I let my glory be seen, says the Lord.
Tin, in bang zawng zawngte chu a velin cherub te, tum thing leh pangpar parh lemte ker mawiin chhûng lam leh pawn lamah chuan a siam a.	And all the walls of the house inside and out were ornamented with forms of winged ones and palm-trees and open flowers.
Tin, a hria apiangin an rilruah lungkhamah an nei a, Chu nausen chu engtin tak la awm ang maw? an ti a; Lalpa kutin amah a tanpui si a.	And all who had word of them kept them in their minds and said, What will this child be? For the hand of the Lord was with him.
Tin, Davida chuan a bungrua chu bungraw enkawltu hnênah chuan a dah a, sipai hnên lamah chuan a va tlan a, a ute chu chibai a va buk a.	And David gave his parcels into the hands of the keeper of the army stores, and went running to the army and came to his brothers to get knowledge about them.
Tin, Davida chuan LALPAN Israel mite chunga lalah amah chu a tinghetin a mi Israelte avângin a ram chu a chawimawi a ni tih a hre ta a.	And David saw that the Lord had made his position safe as king over Israel, lifting up his kingdom on high because of his people Israel.
Tin, ka hming thianghlim hi in tihliau tur a ni lo va, Israela thlahte zingah chawimawin ka awm tur a ni. Kei hi nangmahni chawimawitu,	And do not make my holy name common; so that it may be kept holy by the children of Israel: I am the Lord who make you holy,
mihring thar chuan in inthuam tawh si a, chu mihring thar chu hriat famkimna nei turin, a siamtu anpui anga siam tharin a awm mek a ni;	And have put on the new man, which has become new in knowledge after the image of his maker;
Tichuan, Isuan thing chu a bia a, Tun achinah kumkhuain i lakah tuman rah ei tawh suh se, a ti a. A zirtirhote chuan chu chu an hria a.	And he said to it, Let no man take fruit from you for ever. And his disciples took note of his words.
Tin, ani chuan anni chu a ko ta nghal a; tichuan an pa Zebedaia chu inhlawhfa an rawihte hnenah chuan lawngah an kalsan a, an zui ta a.	And he said, Come after me: and they went away from their father Zebedee, who was in the boat with the servants, and came after him.
Tin, ani chuan, Ka unaupa, heng i kawh mi pekte hi khaw engnge maw ni ngai le? a ti a. Tichuan tun thleng hian Kabul ram an ti ta a ni.	And he said, What sort of towns are these which you have given me, my brother? So they were named the land of Cabul, to this day.
He mi avang ngei hian ani chu in hnenah ka rawn tir a ni, ka chanchin in hriat theihna tur leh in thinlung a tihthlamuan theihna turin;	And I have sent him to you for this very purpose, so that you may have news of how we are, and so that he may give your hearts comfort;
Tin, in chungah tuifîm ka theh ang a, in lo thianghlim ang a, in bawlhhlawhna zawng zawng leh in milimte lak ata ka tlengfai ang che u.	And I will put clean water on you so that you may be clean: from all your unclean ways and from all your images I will make you clean.
Tin, chu chu bana innghat pindan sawmli leh panga chung lamah chuan sidar thingphela khuh ania ; tlar khatah chuan sâwm leh pa nga zel.	And it was covered with cedar over the forty-five supports which were on the pillars, fifteen in a line.
Tin, Isuan a zirtir tantirh lai khan amah chu kum sawmthum lai a ni tawh, mi ngaih chuan Josefa fapa a ni a. Chumi chu Helia fa a ni a,	And Jesus at this time was about thirty years old, being the son (as it seemed of Joseph, the son of Heli,
an lakah ka hmêl ka thup hek lo vang: Israel chhûngte chungah ka thlarau ka leih tawh si a, tih hi LALPA PATHIAN thu chhuak a ni, tiin.	And my face will no longer be covered from them: for I have sent the out-flowing of my spirit on the children of Israel, says the Lord.
Tûnah hnam tam tak nangmah dovin an inkhâwm a, Tihbawrhbân in awm sela, kan mit hian zion chunga a châk zâwng chu hmu rawh se, an ti a.	And now a number of nations have come together against you, and they say, Let her be made unclean and let our eyes see the fate of Zion.
tin, Manase hnam zatvete chanpuala mi chu - Kohatha thlahte hnam la awmte tan Aner a daivêlte nên, Bileam a daivêlte nên an pe a. chuan	And out of the half-tribe of Manasseh, Aner with its outskirts, and Bileam with its outskirts, for the rest of the family of the sons of Kohath.
Tin, a kawchu thau zawng zawng nên, a tin tuam tu râng nên, a kal pahnih leh a bawhtu thau te nên lain maichâm ah chuan i hâl tur a ni.	And take all the fat covering the inside of the ox, and the fat joining the liver and the two kidneys with the fat round them, and let them be burned on the altar;
inngaih hmang emaw, Esauva anga Pathian zah lo mi emaw an lo awm dah ang e. Ani chuan a fa tir nihna chu chaw vawi khat eiah a hralh a.	And that there may not be any evil liver, or any man without respect for God, like Esau, who let his birthright go for a plate of food.
Tin, LALPAN Pharaoa thinlulng chu a tihkhauhsak a; tichuan an thu chu a ngaithla duh ta lo va; LALPAN Mosia hnêna a sawi tawh ang khân.	And the Lord made Pharaoh's heart hard, and he would not give ear to them, as the Lord had said.
Tin, vanah chuan indona a lo awm a; Mikaela leh a vantirhkohte chuan drakon chu an do va; drakon leh a tirhkohte pawh chuan an do ve a;	And there was war in heaven: Michael and his angels going out to the fight with the dragon; and the dragon and his angels made war,
Tin, rangkachak zai phiar pahnih leh rangkachak khang pahnih an siam a; tichuan awmbel tlâng hmawr ve veah chuan khangte chu an vuah a.	And they made two gold frames and two gold rings, the rings being fixed to the ends of the priest's bag;
chu mi ram vel zawng zawngah an tlan ta sup sup a, a awm tih an hriatna apiangah damlote an awngphaha mu chungin an zawn vel ta ruai a.	And went running through all the country round about, and took on their beds those who were ill, to where it was said that he was.
Tin, Davida tlangvâlte chu an va thlen chuan Davida hmingin chung thu zawng zawng chu Nabala hnênah chuan an sawi a, an ngawihsan ta a.	And when David's young men came, they said all this to Nabal, in David's name, and said nothing more.
Mi â ka tlakchham vangin em ni he mi hi a âtzia tilang tûra ka hmaa in rawn hruai ni? He mi hi ka inah a lo lut tehlul ang maw? a ti a.	Are there not enough unbalanced men about me, that you have let this person come and do such tricks before me? is such a man to come into my house?
Zukpui duhawm tak leh zukchal nalh tak angin Englai pawhin a tang chhûng chuan tilungawi fo che sela, A hmangaihnaah chan lawm fo rawh.	As a loving hind and a gentle doe, let her breasts ever give you rapture; let your passion at all times be moved by her love.
Kawl, chhak lamah a lo phe chhuak a, thlang lam thleng pawhin a lang thin a, Mihring Fapa lo kal lehna chu chutiang chu a ni dawn si a.	Because as in a thunderstorm the bright light coming from the east is seen even in the west; so will be the coming of the Son of man.
Tangkaraw zai chu a chah a, Rangkachak berhbu chu a keh a, Hlumbêl chu tuikhurah a keh a, Tawlailir chu tuikhuah bulah a tliah hma hian	Before ever the silver cord is cut, or the vessel of gold is broken, or the pot is broken at the fountain, or the wheel broken at the water-hole;
Nimahsela, engkim Pathian hnen ata chhuak a ni a; ani chuan Krista avangin amah nen inremin min siam a, inremna rawngbawl hna min pe a;	But all things are of God, who has made us at peace with himself through Christ, and has given to us the work of making peace;
Amaherawhchu, kei hian Pathian kutzung avanga ramhuaite hnawt chhuak thin ka nih chuan Pathian ram in hnenah a lo thleng tawh a ni ang.	But if I, by the finger of God, send out evil spirits, then the kingdom of God has overtaken you.
A tawng awmzia erawh chu ka hriat si loh chuan kei hi a sawitu tan awze mi ka ni ang a; a sawitu pawh chu ka tan awze mi a ni bawk ang.	But if the sense of the voice is not clear to me, I am like a man from a strange country to him who is talking, and he will be the same to me.
